ID,team,생년월일,이름,현재 상태
78745,한화,1984-03-01,정현석,은퇴
72443,KIA,1983-12-16,최형우,KBO
78892,KT,1982-03-30,윤요섭,은퇴
79240,두산,1990-08-26,허경민,KBO
75441,NC,1982-11-12,조영훈,은퇴
74465,NC,1985-06-22,박석민,KBO
79402,삼성,1990-03-23,김상수,KBO
76430,SSG,1988-01-02,김상수,KBO
99606,KIA,1980-06-27,정성훈,은퇴
67422,삼성,1998-05-07,정성훈,은퇴
96465,LG,1977-12-09,정성훈,은퇴
90673,해태,1972-05-17,정성훈,은퇴
60605,KIA,1987-05-10,홍재호,은퇴
96253,OB,1974-02-02,홍재호,은퇴
62147,LG,1989-08-30,조윤준,은퇴
71207,KIA,1978-12-18,김원섭,은퇴
71837,SSG,1982-09-13,김강민,KBO
72466,삼성,1983-07-27,조동찬,은퇴
73339,NC,1980-06-18,이종욱,은퇴
75125,키움,1986-07-10,박병호,KBO
89630,해태,1970-07-09,박병호,은퇴
62556,KT,1989-03-21,신본기,KBO
74729,한화,1985-08-17,최진행,은퇴
76232,NC,1987-06-05,양의지,KBO
73136,한화,1984-07-13,이성열,KBO
79196,고양,1990-08-24,차화준,은퇴
75307,삼성,1986-03-20,차화준,은퇴
78767,한화,1989-01-30,조성우,은퇴
60891,SK,1988-02-08,조성우,은퇴
72139,한화,1979-09-24,추승우,은퇴
93705,KIA,1970-05-29,허준,은퇴
79535,두산,1990-09-30,허준혁,은퇴
74556,롯데,1985-12-15,허준혁,은퇴
75344,NC,1981-07-20,허준,은퇴
72860,SK,1981-08-21,이대수,은퇴
72427,LG,1979-07-08,현재윤,은퇴
94415,SK,1971-08-19,김태균,은퇴
71752,한화,1982-05-29,김태균,은퇴
96610,KT,1977-10-18,장성호,은퇴
97350,넥센,1978-03-04,정수성,은퇴
79215,두산,1990-09-08,박건우,KBO
74363,롯데,1985-04-06,박건우,은퇴
61763,한화,1992-07-01,박건우,은퇴
51645,KIA,1998-06-03,박건우,KBO
77532,롯데,1988-03-18,손아섭,KBO
74339,KT,1981-07-01,유한준,KBO
76459,LG,1983-07-16,양영동,은퇴
62338,넥센,1993-02-09,박종윤,은퇴
71562,롯데,1982-04-11,박종윤,은퇴
99244,두산,1974-12-31,박종윤,은퇴
84112,해태,1960-07-06,김상훈,은퇴
60265,화성,1990-03-16,김상훈,은퇴
70612,KIA,1977-10-27,김상훈,은퇴
77248,두산,1985-02-09,오재원,KBO
72133,LG,1979-04-21,박용택,은퇴
71504,KT,1978-08-06,신명철,은퇴
71552,NC,1983-02-15,최준석,은퇴
62967,NC,1989-06-22,마낙길,은퇴
62921,NC,1993-04-11,박헌욱,은퇴
79459,삼성,1991-01-28,정형식,은퇴
78288,한화,1989-08-27,최재훈,KBO
76325,넥센,1987-04-05,강정호,은퇴
74823,LG,1985-07-17,임훈,은퇴
72456,삼성,1983-12-01,손주인,은퇴
97865,쌍방울,1978-04-24,이상호,은퇴
60566,LG,1989-02-05,이상호,KBO
63334,KIA,1994-02-25,이상호,은퇴
79465,SK,1986-06-27,배영섭,은퇴
74540,삼성,1985-08-18,강민호,KBO
51230,두산,2002-02-14,김동주,KBO
98218,두산,1976-02-03,김동주,은퇴
78454,삼성,1989-12-03,우동균,은퇴
79356,롯데,1987-01-01,박헌도,은퇴
70553,KT,1981-06-04,박기혁,은퇴
99543,롯데,1976-12-23,조성환,은퇴
73602,한화,1981-01-26,차일목,은퇴
74163,키움,1985-08-26,이용규,KBO
76231,고양,1982-11-28,이승엽,은퇴
95436,삼성,1976-08-18,이승엽,은퇴
96307,SK,1976-11-30,박진만,은퇴
65619,KIA,1991-02-23,김성현,은퇴
78353,LG,1989-01-03,김성현,은퇴
86510,쌍방울,1963-08-21,김성현,은퇴
66397,넥센,1996-10-24,김성현,은퇴
76802,SSG,1987-03-09,김성현,KBO
77623,KIA,1979-03-16,최희섭,은퇴
79109,LG,1990-03-12,오지환,KBO
79657,NC,1990-03-07,박상혁,은퇴
62802,KT,1992-12-04,박승욱,KBO
63967,NC,1990-06-14,박으뜸,은퇴
63963,NC,1990-12-30,권희동,KBO
71857,SK,1982-07-20,박재상,은퇴
97202,삼성,1974-05-08,진갑용,은퇴
78168,LG,1989-08-22,서건창,KBO
99442,삼성,1980-03-30,김민우,은퇴
72303,KIA,1979-03-21,김민우,은퇴
66007,KT,1997-10-17,김민우,은퇴
65764,한화,1995-07-25,김민우,KBO
76746,넥센,1984-01-27,김태완,은퇴
66303,화성,1993-02-03,김태완,은퇴
89611,해태,1966-08-20,김태완,은퇴
74158,삼성,1981-09-19,김태완,은퇴
63669,KIA,1988-03-30,김민성,은퇴
71238,두산,1980-12-03,김민성,은퇴
67001,KT,1994-03-21,김민성,은퇴
77564,LG,1988-12-17,김민성,KBO
78217,LG,1985-08-20,김용의,KBO
79113,KIA,1990-05-20,문선재,KBO
60805,한화,1987-03-28,최윤석,은퇴
62931,NC,1989-07-15,노진혁,KBO
74368,현대,1984-08-08,김동건,은퇴
71806,NC,1982-03-07,김동건,은퇴
75151,SSG,1986-07-25,정의윤,KBO
79365,키움,1990-04-07,박동원,KBO
73342,키움,1980-07-10,이택근,은퇴
75808,LG,1982-10-02,정근우,은퇴
66657,KIA,1997-07-21,이진영,KBO
66512,롯데,1992-10-02,이진영,은퇴
99810,KT,1980-06-15,이진영,은퇴
99222,두산,1977-02-28,홍성흔,은퇴
74206,두산,1985-03-21,김재호,KBO
98144,한화,1975-05-25,조인성,은퇴
72442,두산,1984-01-19,김현수,은퇴
76290,LG,1988-01-12,김현수,KBO
69516,KIA,2000-07-10,김현수,KBO
74223,NC,1981-04-09,용덕한,은퇴
79608,롯데,1990-07-02,안치홍,KBO
76313,KT,1987-07-28,황재균,KBO
77654,KT,1988-06-17,이준수,은퇴
79456,키움,1986-02-27,이지영,KBO
78536,롯데,1984-07-26,김대우,KBO
61365,삼성,1988-11-21,김대우,KBO
76743,한화,1983-09-14,연경흠,은퇴
79231,두산,1990-10-07,정수빈,KBO
72606,NC,1980-02-21,이현곤,은퇴
73606,KIA,1984-03-21,서동욱,은퇴
77454,NC,1984-05-31,김종호,은퇴
72559,KIA,1983-12-31,신종길,은퇴
74358,NC,1985-08-07,조평호,은퇴
72546,롯데,1983-07-05,문규현,은퇴
76509,한화,1987-06-22,김문호,은퇴
80583,MBC   ,1956-07-16,최정기,은퇴
62893,KIA,1989-06-02,최정민,KBO
65464,KIA,1996-10-24,최정용,KBO
40003,MBC   ,1955-06-02,최정우,은퇴
69992,NC,2000-06-24,최정원,KBO
75847,SSG,1987-02-28,최정,KBO
96824,SK,1973-09-26,최정환,은퇴
92502,롯데,1968-04-28,김상현,은퇴
65305,고양,1996-04-18,김상현,은퇴
70646,KT,1980-11-12,김상현,은퇴
97527,롯데,1974-04-08,김상현,은퇴
70756,KIA,1981-11-25,이범호,은퇴
63792,한화,1990-08-10,조정원,은퇴
69366,키움,2000-01-03,이명기,KBO
76849,NC,1987-12-26,이명기,KBO
78122,NC,1989-12-30,김태군,KBO
77243,KT,1984-07-31,허도환,KBO
63722,KIA,1994-06-21,한승택,KBO
73213,NC,1980-10-19,손시헌,은퇴
93550,롯데,1970-04-06,김정훈,은퇴
89610,해태,1970-07-29,김정훈,은퇴
60860,SK,1987-05-23,김정훈,은퇴
96113,LG,1976-05-05,김정훈,은퇴
73703,한화,1980-06-03,한상훈,은퇴
94629,NC,1976-02-08,이호준,은퇴
64058,KT,1990-07-17,이호준,은퇴
71815,롯데,1981-12-11,박준서,은퇴
71432,삼성,1979-01-28,박한이,은퇴
62907,NC,1993-02-06,박민우,KBO
76368,KIA,1987-11-21,유재신,은퇴
78756,삼성,1989-07-07,오선진,KBO
76249,롯데,1987-03-10,민병헌,KBO
77463,SK,1982-10-11,채태인,은퇴
78629,KIA,1985-05-19,나지완,KBO
79150,LG,1990-10-13,정주현,KBO
78513,롯데,1986-02-25,전준우,KBO
76435,롯데,1984-02-01,이여상,은퇴
78603,KIA,1989-12-18,김선빈,KBO
78745,한화,1984-03-01,정현석,은퇴
72443,KIA,1983-12-16,최형우,KBO
79240,두산,1990-08-26,허경민,KBO
75441,NC,1982-11-12,조영훈,은퇴
74465,NC,1985-06-22,박석민,KBO
79402,삼성,1990-03-23,김상수,KBO
76430,SSG,1988-01-02,김상수,KBO
96465,LG,1977-12-09,정성훈,은퇴
67422,삼성,1998-05-07,정성훈,은퇴
90673,해태,1972-05-17,정성훈,은퇴
99606,KIA,1980-06-27,정성훈,은퇴
60605,KIA,1987-05-10,홍재호,은퇴
96253,OB,1974-02-02,홍재호,은퇴
62147,LG,1989-08-30,조윤준,은퇴
71207,KIA,1978-12-18,김원섭,은퇴
71837,SSG,1982-09-13,김강민,KBO
61186,LG,1988-10-20,이천웅,KBO
72466,삼성,1983-07-27,조동찬,은퇴
73339,NC,1980-06-18,이종욱,은퇴
75125,키움,1986-07-10,박병호,KBO
89630,해태,1970-07-09,박병호,은퇴
62556,KT,1989-03-21,신본기,KBO
74729,한화,1985-08-17,최진행,은퇴
76232,NC,1987-06-05,양의지,KBO
73136,한화,1984-07-13,이성열,KBO
79196,고양,1990-08-24,차화준,은퇴
75307,삼성,1986-03-20,차화준,은퇴
60891,SK,1988-02-08,조성우,은퇴
78767,한화,1989-01-30,조성우,은퇴
75344,NC,1981-07-20,허준,은퇴
79535,두산,1990-09-30,허준혁,은퇴
93705,KIA,1970-05-29,허준,은퇴
74556,롯데,1985-12-15,허준혁,은퇴
72860,SK,1981-08-21,이대수,은퇴
72427,LG,1979-07-08,현재윤,은퇴
94415,SK,1971-08-19,김태균,은퇴
71752,한화,1982-05-29,김태균,은퇴
96610,KT,1977-10-18,장성호,은퇴
97350,넥센,1978-03-04,정수성,은퇴
51645,KIA,1998-06-03,박건우,KBO
61763,한화,1992-07-01,박건우,은퇴
74363,롯데,1985-04-06,박건우,은퇴
79215,두산,1990-09-08,박건우,KBO
77532,롯데,1988-03-18,손아섭,KBO
74339,KT,1981-07-01,유한준,KBO
76459,LG,1983-07-16,양영동,은퇴
62338,넥센,1993-02-09,박종윤,은퇴
71562,롯데,1982-04-11,박종윤,은퇴
99244,두산,1974-12-31,박종윤,은퇴
60265,화성,1990-03-16,김상훈,은퇴
70612,KIA,1977-10-27,김상훈,은퇴
84112,해태,1960-07-06,김상훈,은퇴
77248,두산,1985-02-09,오재원,KBO
72133,LG,1979-04-21,박용택,은퇴
71504,KT,1978-08-06,신명철,은퇴
71552,NC,1983-02-15,최준석,은퇴
62967,NC,1989-06-22,마낙길,은퇴
79459,삼성,1991-01-28,정형식,은퇴
78288,한화,1989-08-27,최재훈,KBO
76325,넥센,1987-04-05,강정호,은퇴
74823,LG,1985-07-17,임훈,은퇴
72456,삼성,1983-12-01,손주인,은퇴
60566,LG,1989-02-05,이상호,KBO
63334,KIA,1994-02-25,이상호,은퇴
97865,쌍방울,1978-04-24,이상호,은퇴
79465,SK,1986-06-27,배영섭,은퇴
98218,두산,1976-02-03,김동주,은퇴
51230,두산,2002-02-14,김동주,KBO
78454,삼성,1989-12-03,우동균,은퇴
72458,한화,1983-09-01,임세업,은퇴
79356,롯데,1987-01-01,박헌도,은퇴
70553,KT,1981-06-04,박기혁,은퇴
99543,롯데,1976-12-23,조성환,은퇴
73602,한화,1981-01-26,차일목,은퇴
74163,키움,1985-08-26,이용규,KBO
95436,삼성,1976-08-18,이승엽,은퇴
76231,고양,1982-11-28,이승엽,은퇴
74103,KIA,1981-08-14,박기남,은퇴
96307,SK,1976-11-30,박진만,은퇴
76802,SSG,1987-03-09,김성현,KBO
78353,LG,1989-01-03,김성현,은퇴
65619,KIA,1991-02-23,김성현,은퇴
86510,쌍방울,1963-08-21,김성현,은퇴
66397,넥센,1996-10-24,김성현,은퇴
61591,롯데,1987-06-18,김사훈,은퇴
77623,KIA,1979-03-16,최희섭,은퇴
79109,LG,1990-03-12,오지환,KBO
79657,NC,1990-03-07,박상혁,은퇴
62802,KT,1992-12-04,박승욱,KBO
63967,NC,1990-06-14,박으뜸,은퇴
63963,NC,1990-12-30,권희동,KBO
71857,SK,1982-07-20,박재상,은퇴
97202,삼성,1974-05-08,진갑용,은퇴
78168,LG,1989-08-22,서건창,KBO
72303,KIA,1979-03-21,김민우,은퇴
66007,KT,1997-10-17,김민우,은퇴
99442,삼성,1980-03-30,김민우,은퇴
65764,한화,1995-07-25,김민우,KBO
74158,삼성,1981-09-19,김태완,은퇴
76746,넥센,1984-01-27,김태완,은퇴
89611,해태,1966-08-20,김태완,은퇴
66303,화성,1993-02-03,김태완,은퇴
71238,두산,1980-12-03,김민성,은퇴
77564,LG,1988-12-17,김민성,KBO
67001,KT,1994-03-21,김민성,은퇴
63669,KIA,1988-03-30,김민성,은퇴
78217,LG,1985-08-20,김용의,KBO
79113,KIA,1990-05-20,문선재,KBO
60805,한화,1987-03-28,최윤석,은퇴
62931,NC,1989-07-15,노진혁,KBO
74368,현대,1984-08-08,김동건,은퇴
71806,NC,1982-03-07,김동건,은퇴
75151,SSG,1986-07-25,정의윤,KBO
79365,키움,1990-04-07,박동원,KBO
73342,키움,1980-07-10,이택근,은퇴
75808,LG,1982-10-02,정근우,은퇴
99810,KT,1980-06-15,이진영,은퇴
66657,KIA,1997-07-21,이진영,KBO
66512,롯데,1992-10-02,이진영,은퇴
99222,두산,1977-02-28,홍성흔,은퇴
74206,두산,1985-03-21,김재호,KBO
98144,한화,1975-05-25,조인성,은퇴
72442,두산,1984-01-19,김현수,은퇴
76290,LG,1988-01-12,김현수,KBO
69516,KIA,2000-07-10,김현수,KBO
74223,NC,1981-04-09,용덕한,은퇴
79608,롯데,1990-07-02,안치홍,KBO
62700,한화,1994-02-25,하주석,KBO
76313,KT,1987-07-28,황재균,KBO
77654,KT,1988-06-17,이준수,은퇴
79456,키움,1986-02-27,이지영,KBO
78536,롯데,1984-07-26,김대우,KBO
61365,삼성,1988-11-21,김대우,KBO
79231,두산,1990-10-07,정수빈,KBO
72606,NC,1980-02-21,이현곤,은퇴
73606,KIA,1984-03-21,서동욱,은퇴
77454,NC,1984-05-31,김종호,은퇴
72559,KIA,1983-12-31,신종길,은퇴
74358,NC,1985-08-07,조평호,은퇴
72546,롯데,1983-07-05,문규현,은퇴
76509,한화,1987-06-22,김문호,은퇴
80583,MBC   ,1956-07-16,최정기,은퇴
62893,KIA,1989-06-02,최정민,KBO
65464,KIA,1996-10-24,최정용,KBO
40003,MBC   ,1955-06-02,최정우,은퇴
69992,NC,2000-06-24,최정원,KBO
96824,SK,1973-09-26,최정환,은퇴
75847,SSG,1987-02-28,최정,KBO
70646,KT,1980-11-12,김상현,은퇴
92502,롯데,1968-04-28,김상현,은퇴
97527,롯데,1974-04-08,김상현,은퇴
65305,고양,1996-04-18,김상현,은퇴
74756,한화,1985-08-18,박노민,은퇴
70756,KIA,1981-11-25,이범호,은퇴
63792,한화,1990-08-10,조정원,은퇴
76849,NC,1987-12-26,이명기,KBO
69366,키움,2000-01-03,이명기,KBO
78122,NC,1989-12-30,김태군,KBO
77243,KT,1984-07-31,허도환,KBO
62797,한화,1989-05-02,양성우,은퇴
63722,KIA,1994-06-21,한승택,KBO
73213,NC,1980-10-19,손시헌,은퇴
93550,롯데,1970-04-06,김정훈,은퇴
60860,SK,1987-05-23,김정훈,은퇴
96113,LG,1976-05-05,김정훈,은퇴
89610,해태,1970-07-29,김정훈,은퇴
73703,한화,1980-06-03,한상훈,은퇴
94629,NC,1976-02-08,이호준,은퇴
64058,KT,1990-07-17,이호준,은퇴
71815,롯데,1981-12-11,박준서,은퇴
71432,삼성,1979-01-28,박한이,은퇴
62907,NC,1993-02-06,박민우,KBO
76368,KIA,1987-11-21,유재신,은퇴
78756,삼성,1989-07-07,오선진,KBO
76249,롯데,1987-03-10,민병헌,KBO
77463,SK,1982-10-11,채태인,은퇴
78629,KIA,1985-05-19,나지완,KBO
79150,LG,1990-10-13,정주현,KBO
78513,롯데,1986-02-25,전준우,KBO
76435,롯데,1984-02-01,이여상,은퇴
78603,KIA,1989-12-18,김선빈,KBO
78745,한화,1984-03-01,정현석,은퇴
72443,KIA,1983-12-16,최형우,KBO
79240,두산,1990-08-26,허경민,KBO
75441,NC,1982-11-12,조영훈,은퇴
74465,NC,1985-06-22,박석민,KBO
76430,SSG,1988-01-02,김상수,KBO
79402,삼성,1990-03-23,김상수,KBO
90673,해태,1972-05-17,정성훈,은퇴
99606,KIA,1980-06-27,정성훈,은퇴
67422,삼성,1998-05-07,정성훈,은퇴
96465,LG,1977-12-09,정성훈,은퇴
60605,KIA,1987-05-10,홍재호,은퇴
96253,OB,1974-02-02,홍재호,은퇴
62147,LG,1989-08-30,조윤준,은퇴
71207,KIA,1978-12-18,김원섭,은퇴
71837,SSG,1982-09-13,김강민,KBO
61186,LG,1988-10-20,이천웅,KBO
72466,삼성,1983-07-27,조동찬,은퇴
73339,NC,1980-06-18,이종욱,은퇴
75125,키움,1986-07-10,박병호,KBO
89630,해태,1970-07-09,박병호,은퇴
62556,KT,1989-03-21,신본기,KBO
74729,한화,1985-08-17,최진행,은퇴
76232,NC,1987-06-05,양의지,KBO
73136,한화,1984-07-13,이성열,KBO
75307,삼성,1986-03-20,차화준,은퇴
79196,고양,1990-08-24,차화준,은퇴
78767,한화,1989-01-30,조성우,은퇴
60891,SK,1988-02-08,조성우,은퇴
93705,KIA,1970-05-29,허준,은퇴
79535,두산,1990-09-30,허준혁,은퇴
74556,롯데,1985-12-15,허준혁,은퇴
75344,NC,1981-07-20,허준,은퇴
72860,SK,1981-08-21,이대수,은퇴
72427,LG,1979-07-08,현재윤,은퇴
94415,SK,1971-08-19,김태균,은퇴
71752,한화,1982-05-29,김태균,은퇴
96610,KT,1977-10-18,장성호,은퇴
97350,넥센,1978-03-04,정수성,은퇴
61763,한화,1992-07-01,박건우,은퇴
51645,KIA,1998-06-03,박건우,KBO
74363,롯데,1985-04-06,박건우,은퇴
79215,두산,1990-09-08,박건우,KBO
77532,롯데,1988-03-18,손아섭,KBO
74339,KT,1981-07-01,유한준,KBO
76459,LG,1983-07-16,양영동,은퇴
62338,넥센,1993-02-09,박종윤,은퇴
71562,롯데,1982-04-11,박종윤,은퇴
99244,두산,1974-12-31,박종윤,은퇴
60265,화성,1990-03-16,김상훈,은퇴
70612,KIA,1977-10-27,김상훈,은퇴
84112,해태,1960-07-06,김상훈,은퇴
77248,두산,1985-02-09,오재원,KBO
72133,LG,1979-04-21,박용택,은퇴
71504,KT,1978-08-06,신명철,은퇴
71552,NC,1983-02-15,최준석,은퇴
62967,NC,1989-06-22,마낙길,은퇴
79459,삼성,1991-01-28,정형식,은퇴
78288,한화,1989-08-27,최재훈,KBO
76325,넥센,1987-04-05,강정호,은퇴
74823,LG,1985-07-17,임훈,은퇴
72456,삼성,1983-12-01,손주인,은퇴
60566,LG,1989-02-05,이상호,KBO
63334,KIA,1994-02-25,이상호,은퇴
97865,쌍방울,1978-04-24,이상호,은퇴
79465,SK,1986-06-27,배영섭,은퇴
51230,두산,2002-02-14,김동주,KBO
98218,두산,1976-02-03,김동주,은퇴
78454,삼성,1989-12-03,우동균,은퇴
72458,한화,1983-09-01,임세업,은퇴
79356,롯데,1987-01-01,박헌도,은퇴
70553,KT,1981-06-04,박기혁,은퇴
99543,롯데,1976-12-23,조성환,은퇴
73602,한화,1981-01-26,차일목,은퇴
74163,키움,1985-08-26,이용규,KBO
76231,고양,1982-11-28,이승엽,은퇴
95436,삼성,1976-08-18,이승엽,은퇴
74103,KIA,1981-08-14,박기남,은퇴
96307,SK,1976-11-30,박진만,은퇴
76802,SSG,1987-03-09,김성현,KBO
78353,LG,1989-01-03,김성현,은퇴
65619,KIA,1991-02-23,김성현,은퇴
66397,넥센,1996-10-24,김성현,은퇴
86510,쌍방울,1963-08-21,김성현,은퇴
61591,롯데,1987-06-18,김사훈,은퇴
77623,KIA,1979-03-16,최희섭,은퇴
79109,LG,1990-03-12,오지환,KBO
79657,NC,1990-03-07,박상혁,은퇴
62802,KT,1992-12-04,박승욱,KBO
63967,NC,1990-06-14,박으뜸,은퇴
63963,NC,1990-12-30,권희동,KBO
71857,SK,1982-07-20,박재상,은퇴
97202,삼성,1974-05-08,진갑용,은퇴
78168,LG,1989-08-22,서건창,KBO
72303,KIA,1979-03-21,김민우,은퇴
65764,한화,1995-07-25,김민우,KBO
66007,KT,1997-10-17,김민우,은퇴
99442,삼성,1980-03-30,김민우,은퇴
66303,화성,1993-02-03,김태완,은퇴
74158,삼성,1981-09-19,김태완,은퇴
76746,넥센,1984-01-27,김태완,은퇴
89611,해태,1966-08-20,김태완,은퇴
63669,KIA,1988-03-30,김민성,은퇴
71238,두산,1980-12-03,김민성,은퇴
67001,KT,1994-03-21,김민성,은퇴
77564,LG,1988-12-17,김민성,KBO
78217,LG,1985-08-20,김용의,KBO
79113,KIA,1990-05-20,문선재,KBO
60805,한화,1987-03-28,최윤석,은퇴
62931,NC,1989-07-15,노진혁,KBO
74368,현대,1984-08-08,김동건,은퇴
71806,NC,1982-03-07,김동건,은퇴
75151,SSG,1986-07-25,정의윤,KBO
79365,키움,1990-04-07,박동원,KBO
73342,키움,1980-07-10,이택근,은퇴
75808,LG,1982-10-02,정근우,은퇴
66657,KIA,1997-07-21,이진영,KBO
99810,KT,1980-06-15,이진영,은퇴
66512,롯데,1992-10-02,이진영,은퇴
99222,두산,1977-02-28,홍성흔,은퇴
74206,두산,1985-03-21,김재호,KBO
98144,한화,1975-05-25,조인성,은퇴
76290,LG,1988-01-12,김현수,KBO
72442,두산,1984-01-19,김현수,은퇴
69516,KIA,2000-07-10,김현수,KBO
74223,NC,1981-04-09,용덕한,은퇴
79608,롯데,1990-07-02,안치홍,KBO
62700,한화,1994-02-25,하주석,KBO
76313,KT,1987-07-28,황재균,KBO
79456,키움,1986-02-27,이지영,KBO
78536,롯데,1984-07-26,김대우,KBO
61365,삼성,1988-11-21,김대우,KBO
79231,두산,1990-10-07,정수빈,KBO
72606,NC,1980-02-21,이현곤,은퇴
73606,KIA,1984-03-21,서동욱,은퇴
77454,NC,1984-05-31,김종호,은퇴
72559,KIA,1983-12-31,신종길,은퇴
74358,NC,1985-08-07,조평호,은퇴
72546,롯데,1983-07-05,문규현,은퇴
76509,한화,1987-06-22,김문호,은퇴
80583,MBC   ,1956-07-16,최정기,은퇴
62893,KIA,1989-06-02,최정민,KBO
65464,KIA,1996-10-24,최정용,KBO
40003,MBC   ,1955-06-02,최정우,은퇴
69992,NC,2000-06-24,최정원,KBO
75847,SSG,1987-02-28,최정,KBO
96824,SK,1973-09-26,최정환,은퇴
92502,롯데,1968-04-28,김상현,은퇴
97527,롯데,1974-04-08,김상현,은퇴
65305,고양,1996-04-18,김상현,은퇴
70646,KT,1980-11-12,김상현,은퇴
74756,한화,1985-08-18,박노민,은퇴
70756,KIA,1981-11-25,이범호,은퇴
63792,한화,1990-08-10,조정원,은퇴
76849,NC,1987-12-26,이명기,KBO
69366,키움,2000-01-03,이명기,KBO
78122,NC,1989-12-30,김태군,KBO
77243,KT,1984-07-31,허도환,KBO
63722,KIA,1994-06-21,한승택,KBO
73213,NC,1980-10-19,손시헌,은퇴
93550,롯데,1970-04-06,김정훈,은퇴
89610,해태,1970-07-29,김정훈,은퇴
96113,LG,1976-05-05,김정훈,은퇴
60860,SK,1987-05-23,김정훈,은퇴
73703,한화,1980-06-03,한상훈,은퇴
64058,KT,1990-07-17,이호준,은퇴
94629,NC,1976-02-08,이호준,은퇴
71815,롯데,1981-12-11,박준서,은퇴
71432,삼성,1979-01-28,박한이,은퇴
76368,KIA,1987-11-21,유재신,은퇴
78756,삼성,1989-07-07,오선진,KBO
76249,롯데,1987-03-10,민병헌,KBO
77463,SK,1982-10-11,채태인,은퇴
78629,KIA,1985-05-19,나지완,KBO
79150,LG,1990-10-13,정주현,KBO
78513,롯데,1986-02-25,전준우,KBO
76435,롯데,1984-02-01,이여상,은퇴
78603,KIA,1989-12-18,김선빈,KBO
78745,한화,1984-03-01,정현석,은퇴
72443,KIA,1983-12-16,최형우,KBO
79240,두산,1990-08-26,허경민,KBO
75441,NC,1982-11-12,조영훈,은퇴
74465,NC,1985-06-22,박석민,KBO
76430,SSG,1988-01-02,김상수,KBO
79402,삼성,1990-03-23,김상수,KBO
90673,해태,1972-05-17,정성훈,은퇴
96465,LG,1977-12-09,정성훈,은퇴
67422,삼성,1998-05-07,정성훈,은퇴
99606,KIA,1980-06-27,정성훈,은퇴
60605,KIA,1987-05-10,홍재호,은퇴
96253,OB,1974-02-02,홍재호,은퇴
62147,LG,1989-08-30,조윤준,은퇴
71207,KIA,1978-12-18,김원섭,은퇴
71837,SSG,1982-09-13,김강민,KBO
61186,LG,1988-10-20,이천웅,KBO
72466,삼성,1983-07-27,조동찬,은퇴
73339,NC,1980-06-18,이종욱,은퇴
75125,키움,1986-07-10,박병호,KBO
89630,해태,1970-07-09,박병호,은퇴
